Type,Size,Threads,Solutions,FirstTime_s,TotalTime_s,MaxMemory_MB,AvgMemory_MB,CPU_Percent,ContextSwitches,PageFaults,Status
sparse,8,1,0,0,90,0,0,,,,TIMEOUT
sparse,8,4,0,0,90,0,0,,,,TIMEOUT
sparse,8,8,0,0,90,0,0,,,,TIMEOUT
sparse,8,16,0,0,90,0,0,,,,TIMEOUT
sparse,8,32,0,0,90,0,0,,,,TIMEOUT
sparse,8,48,0,0,90,0,0,,,,TIMEOUT
sparse,8,64,0,0,90,0,0,,,,TIMEOUT
sparse,16,1,0,0,90,0,0,,,,TIMEOUT
sparse,16,4,0,0,90,0,0,,,,TIMEOUT
sparse,16,8,0,0,90,0,0,,,,TIMEOUT
sparse,16,16,0,0,90,0,0,,,,TIMEOUT
sparse,16,32,0,0,90,0,0,,,,TIMEOUT
sparse,16,48,0,0,90,0,0,,,,TIMEOUT
sparse,16,64,0,0,90,0,0,,,,TIMEOUT
sparse,24,1,0,0,90,0,0,,,,TIMEOUT
sparse,24,4,0,0,90,0,0,,,,TIMEOUT
sparse,24,8,0,0,90,0,0,,,,TIMEOUT
sparse,24,16,0,0,90,0,0,,,,TIMEOUT
sparse,24,32,0,0,90,0,0,,,,TIMEOUT
sparse,24,48,0,0,90,0,0,,,,TIMEOUT
sparse,24,64,0,0,90,0,0,,,,TIMEOUT
sparse,32,1,0,0,90,0,0,,,,TIMEOUT
sparse,32,4,0,0,90,0,0,,,,TIMEOUT
sparse,32,8,0,0,90,0,0,,,,TIMEOUT
sparse,32,16,0,0,90,0,0,,,,TIMEOUT
sparse,32,32,0,0,90,0,0,,,,TIMEOUT
sparse,32,48,0,0,90,0,0,,,,TIMEOUT
sparse,32,64,0,0,90,0,0,,,,TIMEOUT
dense,8,1,0,0,90,0,0,,,,TIMEOUT
dense,8,4,0,0,90,0,0,,,,TIMEOUT
dense,8,8,0,0,90,0,0,,,,TIMEOUT
dense,8,16,0,0,90,0,0,,,,TIMEOUT
dense,8,32,0,0,90,0,0,,,,TIMEOUT
dense,8,48,0,0,90,0,0,,,,TIMEOUT
dense,8,64,0,0,90,0,0,,,,TIMEOUT
dense,16,1,0,0,90,0,0,,,,TIMEOUT
dense,16,4,0,0,90,0,0,,,,TIMEOUT
dense,16,8,0,0,90,0,0,,,,TIMEOUT
dense,16,16,0,0,90,0,0,,,,TIMEOUT
dense,16,32,0,0,90,0,0,,,,TIMEOUT
dense,16,48,0,0,90,0,0,,,,TIMEOUT
dense,16,64,0,0,90,0,0,,,,TIMEOUT
dense,24,1,0,0,90,0,0,,,,TIMEOUT
dense,24,4,0,0,90,0,0,,,,TIMEOUT
dense,24,8,0,0,90,0,0,,,,TIMEOUT
dense,24,16,0,0,90,0,0,,,,TIMEOUT
dense,24,32,0,0,90,0,0,,,,TIMEOUT
dense,24,48,0,0,90,0,0,,,,TIMEOUT
dense,24,64,0,0,90,0,0,,,,TIMEOUT
dense,32,1,0,0,90,0,0,,,,TIMEOUT
dense,32,4,0,0,90,0,0,,,,TIMEOUT
dense,32,8,0,0,90,0,0,,,,TIMEOUT
dense,32,16,0,0,90,0,0,,,,TIMEOUT
dense,32,32,0,0,90,0,0,,,,TIMEOUT
dense,32,48,0,0,90,0,0,,,,TIMEOUT
dense,32,64,0,0,90,0,0,,,,TIMEOUT
