sparse,8,48,,,,69601568,1695,TIMEOUT
sparse,8,64,16392,0,29.7969,60756212,1944,TIMEOUT
sparse,16,1,0,0,29.8138,85054304,99,TIMEOUT
sparse,16,8,29.8393,TIMEOUT,,260287308,449,TIMEOUT
sparse,16,16,29.8566,TIMEOUT,,153833004,785,TIMEOUT
sparse,16,32,Aborted,,,78492,229,ERROR
sparse,16,48,Segmentation,fault,,80120,340,ERROR
sparse,16,64,Segmentation,fault,,80772,462,ERROR
sparse,24,1,0,0,29.839,70780048,99,TIMEOUT
sparse,24,8,2728,0,29.8401,250291744,446,TIMEOUT
sparse,24,16,2928,0,29.8701,141955344,783,TIMEOUT
sparse,24,32,935,0,29.811,74244736,1310,TIMEOUT
sparse,24,48,Segmentation,fault,,193648,603,ERROR
