Dataset,Type,Size,Threads,TimeLimit_s,Time_s,Count,Status,MaxMemory_KB,CPU_Percent,ContextSwitches,PageFaults
lj,sparse,8,1,90,.007903811,0,SUCCESS,3944,66,3,250
lj,sparse,8,4,90,.010070464,0,SUCCESS,3924,80,3,257
lj,sparse,8,8,90,.010012773,0,SUCCESS,4000,80,3,252
lj,sparse,8,16,90,.009722812,0,SUCCESS,3980,80,3,252
lj,sparse,8,32,90,.009927687,0,SUCCESS,3980,100,3,249
lj,sparse,8,48,90,.009950483,0,SUCCESS,3920,100,3,252
lj,sparse,8,64,90,.010081515,0,SUCCESS,3908,100,3,255
lj,sparse,16,1,90,.009807842,0,SUCCESS,3924,80,3,257
lj,sparse,16,4,90,.009841269,0,SUCCESS,3920,80,3,248
lj,sparse,16,8,90,.010065871,0,SUCCESS,3984,80,3,252
lj,sparse,16,16,90,.010102653,0,SUCCESS,3876,100,3,251
lj,sparse,16,32,90,.010334776,0,SUCCESS,3928,80,3,255
lj,sparse,16,48,90,.010263311,0,SUCCESS,3880,100,3,247
lj,sparse,16,64,90,.010291544,0,SUCCESS,3944,80,3,252
lj,sparse,24,1,90,.010303887,0,SUCCESS,3912,80,3,253
lj,sparse,24,4,90,.010160555,0,SUCCESS,3908,100,3,251
lj,sparse,24,8,90,.010389162,0,SUCCESS,3920,100,3,247
lj,sparse,24,16,90,.010340701,0,SUCCESS,3796,100,3,255
lj,sparse,24,32,90,.010192716,0,SUCCESS,3980,100,3,253
lj,sparse,24,48,90,.010537892,0,SUCCESS,3984,80,3,254
lj,sparse,24,64,90,.010463121,0,SUCCESS,3944,100,3,255
lj,sparse,32,1,90,.010150713,0,SUCCESS,3848,80,3,249
lj,sparse,32,4,90,.010156645,0,SUCCESS,3860,80,3,253
lj,sparse,32,8,90,.010257089,0,SUCCESS,3920,100,3,254
lj,sparse,32,16,90,.010259156,0,SUCCESS,3980,80,3,251
lj,sparse,32,32,90,.011145232,0,SUCCESS,3912,66,4,247
lj,sparse,32,48,90,.010150517,0,SUCCESS,3920,80,3,253
lj,sparse,32,64,90,.010225953,0,SUCCESS,3920,80,3,248
lj,dense,8,1,90,.010187158,0,SUCCESS,3936,100,3,252
lj,dense,8,4,90,.010389278,0,SUCCESS,3908,100,3,253
lj,dense,8,8,90,.010339591,0,SUCCESS,3928,100,3,249
lj,dense,8,16,90,.010446517,0,SUCCESS,3936,100,3,254
lj,dense,8,32,90,.010304321,0,SUCCESS,3920,100,3,253
lj,dense,8,48,90,.010312211,0,SUCCESS,3984,100,3,257
lj,dense,8,64,90,.010245353,0,SUCCESS,3908,80,3,246
lj,dense,16,1,90,.010158710,0,SUCCESS,3944,100,3,254
lj,dense,16,4,90,.010258112,0,SUCCESS,3924,80,3,251
lj,dense,16,8,90,.010175600,0,SUCCESS,3948,80,3,255
lj,dense,16,16,90,.010381251,0,SUCCESS,3908,80,3,254
lj,dense,16,32,90,.010345701,0,SUCCESS,3920,80,3,250
lj,dense,16,48,90,.010388425,0,SUCCESS,3996,100,3,254
lj,dense,16,64,90,.010512806,0,SUCCESS,3948,80,3,253
lj,dense,24,1,90,.010366667,0,SUCCESS,3852,80,3,251
lj,dense,24,4,90,.010465545,0,SUCCESS,3984,100,3,253
lj,dense,24,8,90,.010403254,0,SUCCESS,3920,100,3,254
lj,dense,24,16,90,.010660826,0,SUCCESS,3984,100,3,254
lj,dense,24,32,90,.010563404,0,SUCCESS,3940,80,3,254
lj,dense,24,48,90,.010197200,0,SUCCESS,4004,80,3,254
lj,dense,24,64,90,.010136984,0,SUCCESS,3984,80,3,252
lj,dense,32,1,90,.010810201,0,SUCCESS,3864,66,3,250
lj,dense,32,4,90,.010431226,0,SUCCESS,3852,100,3,251
lj,dense,32,8,90,.010456078,0,SUCCESS,3916,100,3,251
lj,dense,32,16,90,.010536740,0,SUCCESS,3924,100,3,249
lj,dense,32,32,90,.010301177,0,SUCCESS,3984,80,3,254
lj,dense,32,48,90,.010236593,0,SUCCESS,3928,100,3,250
lj,dense,32,64,90,.010516691,0,SUCCESS,4000,100,3,252
